PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Tomlins, SA; Laxman, B; Dhanasekaran, SM; Helgeson, BE; Cao, XH; Morris, DS; Menon, A; Jing, XJ; Cao, Q; Han, B; Yu, JD; Wang, L; Montie, JE; Rubin, MA; Pienta, KJ; Roulston, D; Shah, RB; Varambally, S; Mehra, R; Chinnaiyan, AM",,,,"Tomlins, Scott A.; Laxman, Bharathi; Dhanasekaran, Saravana M.; Helgeson, Beth E.; Cao, Xuhong; Morris, David S.; Menon, Anjana; Jing, Xiaojun; Cao, Qi; Han, Bo; Yu, Jindan; Wang, Lei; Montie, James E.; Rubin, Mark A.; Pienta, Kenneth J.; Roulston, Diane; Shah, Rajal B.; Varambally, Sooryanarayana; Mehra, Rohit; Chinnaiyan, Arul M.",,,Distinct classes of chromosomal rearrangements create oncogenic ETS gene fusions in prostate cancer,NATURE,,,English,Article,,,,,,,HIGH-FREQUENCY; CELL-LINES; EXPRESSION; TMPRSS2-ERG; TRANSLOCATIONS; IDENTIFICATION; MECHANISMS; RELEVANT; PATHWAYS; LEUKEMIA,"Recently, we identified recurrent gene fusions involving the 59 untranslated region of the androgen-regulated gene TMPRSS2 and the ETS (E26 transformation-specific) family genes ERG, ETV1 or ETV4 in most prostate cancers(1,2). Whereas TMPRSS2 ERG fusions are predominant, fewer TMPRSS2-ETV1 cases have been identified than expected on the basis of the frequency of high (outlier) expression of ETV1 (refs 3-13). Here we explore the mechanism of ETV1 outlier expression in human prostate tumours and prostate cancer cell lines. We identified previously unknown 59 fusion partners in prostate tumours with ETV1 outlier expression, including untranslated regions from a prostate-specific androgen-induced gene (SLC45A3) and an endogenous retroviral element (HERV-K_22q11.23), a prostate-specific androgen-repressed gene (C15orf21), and a strongly expressed housekeeping gene (HNRPA2B1). To study aberrant activation of ETV1, we identified two prostate cancer cell lines, LNCaP and MDA-PCa 2B, that had ETV1 outlier expression. Through distinct mechanisms, the entire ETV1 locus (7p21) is rearranged to a 1.5-megabase prostate-specific region at 14q13.3-14q21.1 in both LNCaP cells (cryptic insertion) and MDA- PCa 2B cells (balanced translocation). Because the common factor of these rearrangements is aberrant ETV1 overexpression, we recapitulated this event in vitro and in vivo, demonstrating that ETV1 overexpression in benign prostate cells and in the mouse prostate confers neoplastic phenotypes. Identification of distinct classes of ETS gene rearrangements demonstrates that dormant oncogenes can be activated in prostate cancer by juxtaposition to tissue-specific or ubiquitously active genomic loci. Subversion of active genomic regulatory elements may serve as a more generalized mechanism for carcinoma development. Furthermore, the identification of androgen-repressed and insensitive 59 fusion partners may have implications for the anti-androgen treatment of advanced prostate cancer.","Univ Michigan, Sch Med, Michigan Ctr Translat Pathol, Dept Pathol, Ann Arbor, MI 48109 USA; Univ Michigan, Sch Med, Dept Urol, Ann Arbor, MI 48109 USA; Univ Michigan, Sch Med, Dept Internal Med, Ann Arbor, MI 48109 USA; Univ Michigan, Sch Med, Ctr Comprehens Canc, Ann Arbor, MI 48109 USA; Harvard Univ, Sch Med, Dana Farber Canc Inst, Boston, MA 02115 USA","Chinnaiyan, AM (reprint author), Univ Michigan, Sch Med, Michigan Ctr Translat Pathol, Dept Pathol, Ann Arbor, MI 48109 USA.",arul@umich.edu,"Cao, Qi/A-5517-2010","Cao, Qi/0000-0002-5140-3681; Rubin, Mark/0000-0002-8321-9950; Pienta, Kenneth/0000-0002-4138-2186",,,,34,474,484,4,27,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,2-Aug,2007,448,7153,,,,,595,U9,,10.1038/nature06024,,7,Multidisciplinary Sciences,Science & Technology - Other Topics,195XV,WOS:000248446700044,17671502,No,Y,N,11/20/17
J,"Schiff, ND; Giacino, JT; Kalmar, K; Victor, JD; Baker, K; Gerber, M; Fritz, B; Eisenberg, B; O'Connor, J; Kobylarz, EJ; Farris, S; Machado, A; McCagg, C; Plum, F; Fins, JJ; Rezai, AR",,,,"Schiff, N. D.; Giacino, J. T.; Kalmar, K.; Victor, J. D.; Baker, K.; Gerber, M.; Fritz, B.; Eisenberg, B.; O'Connor, J.; Kobylarz, E. J.; Farris, S.; Machado, A.; McCagg, C.; Plum, F.; Fins, J. J.; Rezai, A. R.",,,Behavioural improvements with thalamic stimulation after severe traumatic brain injury,NATURE,,,English,Article,,,,,,,MINIMALLY CONSCIOUS STATE; INTRALAMINAR; PROJECTIONS; ACTIVATION; ATTENTION; RECOVERY; AROUSAL; NUCLEI,"Widespread loss of cerebral connectivity is assumed to underlie the failure of brain mechanisms that support communication and goal-directed behaviour following severe traumatic brain injury. Disorders of consciousness that persist for longer than 12 months after severe traumatic brain injury are generally considered to be immutable; no treatment has been shown to accelerate recovery or improve functional outcome in such cases(1,2). Recent studies have shown unexpected preservation of large-scale cerebral networks in patients in the minimally conscious state (MCS)(3,4), a condition that is characterized by intermittent evidence of awareness of self or the environment(5). These findings indicate that there might be residual functional capacity in some patients that could be supported by therapeutic interventions. We hypothesize that further recovery in some patients in the MCS is limited by chronic underactivation of potentially recruitable large-scale networks. Here, in a 6-month double-blind alternating crossover study, we show that bilateral deep brain electrical stimulation (DBS) of the central thalamus modulates behavioural responsiveness in a patient who remained in MCS for 6 yr following traumatic brain injury before the intervention. The frequency of specific cognitively mediated behaviours (primary outcome measures) and functional limb control and oral feeding (secondary outcome measures) increased during periods in which DBS was on as compared with periods in which it was off. Logistic regression modelling shows a statistical linkage between the observed functional improvements and recent stimulation history. We interpret the DBS effects as compensating for a loss of arousal regulation that is normally controlled by the frontal lobe in the intact brain. These findings provide evidence that DBS can promote significant late functional recovery from severe traumatic brain injury. Our observations, years after the injury occurred, challenge the existing practice of early treatment discontinuation for patients with only inconsistent interactive behaviours and motivate further research to develop therapeutic interventions.","Weill Cornell Med Coll, Dept Neurol & Neurosci, New York, NY 10021 USA; JFK Rehabil Inst, Edison, NJ 08818 USA; New Jersey Neurosci Inst, Edison, NJ 08818 USA; Cleveland Clin Fdn, Ctr Neurol Restorat, Cleveland, OH 44195 USA; Weill Cornell Med Coll, Div Med Eth, New York, NY 10021 USA","Schiff, ND (reprint author), Weill Cornell Med Coll, Dept Neurol & Neurosci, New York, NY 10021 USA.",nds2001@mail.med.cornell.edu,"Victor, Jonathan/D-2931-2009; Machado, Andre/B-7572-2014","Machado, Andre/0000-0002-8132-5610",,,,23,385,402,9,61,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,2-Aug,2007,448,7153,,,,,600,U10,,10.1038/nature06041,,5,Multidisciplinary Sciences,Science & Technology - Other Topics,195XV,WOS:000248446700045,17671503,No,Y,N,11/20/17
J,"Miller-Jensen, K; Janes, KA; Brugge, JS; Lauffenburger, DA",,,,"Miller-Jensen, Kathryn; Janes, Kevin A.; Brugge, Joan S.; Lauffenburger, Douglas A.",,,Common effector processing mediates cell-specific responses to stimuli,NATURE,,,English,Article,,,,,,,NF-KAPPA-B; TUMOR-NECROSIS-FACTOR; SIGNAL-TRANSDUCTION; INDUCED APOPTOSIS; CHEMOKINE RECEPTORS; EPITHELIAL-CELLS; NETWORKS; CANCER; TNF; PATHWAY,"The fundamental components of many signalling pathways are common to all cells(1-3). However, stimulating or perturbing the intracellular network often causes distinct phenotypes that are specific to a given cell type(4,5). This 'cell specificity' presents a challenge in understanding how intracellular networks regulate cell behaviour and an obstacle to developing drugs that treat signalling dysfunctions(6,7). Here we apply a systems-modelling approach(8) to investigate how cell-specific signalling events are integrated through effector proteins to cause cell-specific outcomes. We focus on the synergy between tumour necrosis factor and an adenoviral vector as a therapeutically relevant stimulus that induces cell-specific responses(9-11). By constructing models that estimate how kinase-signalling events are processed into phenotypes through effector substrates, we find that accurate predictions of cell specificity are possible when different cell types share a common 'effector-processing' mechanism. Partial-least-squares regression models based on common effector processing accurately predict cell-specific apoptosis, chemokine release, gene induction, and drug sensitivity across divergent epithelial cell lines. We conclude that cell specificity originates from the differential activation of kinases and other upstream transducers, which together enable different cell types to use common effectors to generate diverse outcomes. The common processing of network signals by downstream effectors points towards an important cell biological principle, which can be applied to the understanding of cell-specific responses to targeted drug therapies(6).","MIT, Ctr Cell Decis Proc, Cambridge, MA 02139 USA; MIT, Dept Chem Engn, Cambridge, MA 02139 USA; Harvard Univ, Sch Med, Dept Cell Biol, Boston, MA 02115 USA; MIT, Dept Biol, Cambridge, MA 02139 USA; MIT, Dept Biol Engn, Cambridge, MA 02139 USA","Lauffenburger, DA (reprint author), MIT, Ctr Cell Decis Proc, 77 Massachusetts Ave, Cambridge, MA 02139 USA.",lauffen@mit.edu,,,,,,34,119,125,1,8,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,2-Aug,2007,448,7153,,,,,604,U11,,10.1038/nature06001,,6,Multidisciplinary Sciences,Science & Technology - Other Topics,195XV,WOS:000248446700046,17637676,No,,,11/20/17
J,"Ago, H; Kanaoka, Y; Irikura, D; Lam, BK; Shimamura, T; Austen, KF; Miyano, M",,,,"Ago, Hideo; Kanaoka, Yoshihide; Irikura, Daisuke; Lam, Bing K.; Shimamura, Tatsuro; Austen, K. Frank; Miyano, Masashi",,,Crystal structure of a human membrane protein involved in cysteinyl leukotriene biosynthesis,NATURE,,,English,Article,,,,,,,C-4 SYNTHASE; PULMONARY INFLAMMATION; GLUTATHIONE; IDENTIFICATION; TRANSFERASE; ANAPHYLAXIS; EXPRESSION; PROJECTION; SUBSTANCE; CLONING,"The cysteinyl leukotrienes, namely leukotriene (LT)C-4 and its metabolites LTD4 and LTE4, the components of slow-reacting substance of anaphylaxis(1,2), are lipid mediators of smooth muscle constriction(3-5) and inflammation(6,7), particularly implicated in bronchial asthma(8,9). LTC4 synthase (LTC4S), the pivotal enzyme for the biosynthesis of LTC4 (ref. 10), is an 18-kDa integral nuclear membrane protein(11,12) that belongs to a superfamily of membrane-associated proteins in eicosanoid and glutathione metabolism that includes 5-lipoxygenase- activating protein, microsomal glutathione S-transferases (MGSTs), and microsomal prostaglandin E synthase 1 (ref. 13). LTC4S conjugates glutathione to LTA(4), the endogenous substrate derived from arachidonic acid through the 5-lipoxygenase pathway(14). In contrast with MGST2 and MGST3 (refs 15, 16), LTC4S does not conjugate glutathione to xenobiotics(17). Here we show the atomic structure of human LTC4S in a complex with glutathione at 3.3 angstrom resolution by X-ray crystallography and provide insights into the high substrate specificity for glutathione and LTA(4) that distinguishes LTC4S from other MGSTs. The LTC4S monomer has four transmembrane alpha-helices and forms a threefold symmetric trimer as a unit with functional domains across each interface. Glutathione resides in a U-shaped conformation within an interface between adjacent monomers, and this binding is stabilized by a loop structure at the top of the interface. LTA(4) would fit into the interface so that Arg 104 of one monomer activates glutathione to provide the thiolate anion that attacks C6 of LTA(4) to form a thioether bond, and Arg 31 in the neighbouring monomer donates a proton to form a hydroxyl group at C5, resulting in 5(S)-hydroxy-6(R)-S-glutathionyl-7,9-trans-11,14-cis-eicosatetraenoic acid (LTC4). These findings provide a structural basis for the development of LTC4S inhibitors for a proinflammatory pathway mediated by three cysteinyl leukotriene ligands whose stability and potency are different and by multiple cysteinyl leukotriene receptors whose functions may be non-redundant.","Harima Inst, Struct Biophys Lab, RIKEN SPring Ctr 8, Sayo, Hyogo 6795148, Japan; Harvard Univ, Sch Med, Dept Med, Boston, MA 02115 USA; Brigham & Womens Hosp, Div Rheumatol Immunol & Allergy, Boston, MA 02115 USA","Miyano, M (reprint author), Harima Inst, Struct Biophys Lab, RIKEN SPring Ctr 8, 1-1-1 Kouto, Sayo, Hyogo 6795148, Japan.",fausten@rics.bwh.harvard.edu; miyano@spring8.or.jp,"Miyano, Masashi/R-2785-2016",,,,,31,105,108,0,10,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,2-Aug,2007,448,7153,,,,,609,U12,,10.1038/nature05936,,5,Multidisciplinary Sciences,Science & Technology - Other Topics,195XV,WOS:000248446700047,17632548,No,,,11/20/17
J,"Molina, DM; Wetterholm, A; Kohl, A; McCarthy, AA; Niegowski, D; Ohlson, E; Hammarberg, T; Eshaghi, S; Haeggstrom, J; Nordlund, PR",,,,"Molina, Daniel Martinez; Wetterholm, Anders; Kohl, Andreas; McCarthy, Andrew A.; Niegowski, Damian; Ohlson, Eva; Hammarberg, Tove; Eshaghi, Said; Haeggstroem, Jesper Z.; Nordlund, Paer",,,Structural basis for synthesis of inflammatory mediators by human leukotriene C-4 synthase,NATURE,,,English,Article,,,,,,,GUINEA-PIG LUNG; REFINEMENT; BIOSYNTHESIS; GLUTATHIONE; ASTHMA; ENZYME,"Cysteinyl leukotrienes are key mediators in inflammation and have an important role in acute and chronic inflammatory diseases of the cardiovascular and respiratory systems, in particular bronchial asthma. In the biosynthesis of cysteinyl leukotrienes, conversion of arachidonic acid forms the unstable epoxide leukotriene A(4) (LTA(4)). This intermediate is conjugated with glutathione (GSH) to produce leukotriene C-4 (LTC4) in a reaction catalysed by LTC4 synthase(1): this reaction is the key step in cysteinyl leukotriene formation. Here we present the crystal structure of the human LTC4 synthase in its apo and GSH- complexed forms to 2.00 and 2.15 angstrom resolution, respectively. The structure reveals a homotrimer, where each monomer is composed of four transmembrane segments. The structure of the enzyme in complex with substrate reveals that the active site enforces a horseshoe- shaped conformation on GSH, and effectively positions the thiol group for activation by a nearby arginine at the membrane - enzyme interface. In addition, the structure provides a model for how the omega- end of the lipophilic co- substrate is pinned at one end of a hydrophobic cleft, providing a molecular 'ruler' to align the reactive epoxide at the thiol of glutathione. This provides newstructural insights into themechanismof LTC4 formation, and also suggests that the observed binding and activation of GSHmight be common for a family of homologous proteins important for inflammatory and detoxification responses.","Karolinska Inst, Div Biophys, Dept Med Biochem & Biophys, S-17177 Stockholm, Sweden; Karolinska Inst, Div Chem, Dept Med Biochem & Biophys, S-17177 Stockholm, Sweden; Karolinska Inst, Struct Genom Consortium, S-17177 Stockholm, Sweden; Stockholm Univ, Dept Biochem & Biophys, S-10691 Stockholm, Sweden; European Mol Biol Lab, Grenoble Outstn, F-38042 Grenoble 9, France","Haeggstrom, J (reprint author), Karolinska Inst, Div Biophys, Dept Med Biochem & Biophys, S-17177 Stockholm, Sweden.",said.eshaghi@ki.se; jesper.haeggstrom@ki.se; par.nordlund@ki.se,,,,,,28,120,121,0,4,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,2-Aug,2007,448,7153,,,,,613,U13,,10.1038/nature06009,,5,Multidisciplinary Sciences,Science & Technology - Other Topics,195XV,WOS:000248446700048,,No,,,11/20/17
J,"Ploegh, HL",,,,"Ploegh, Hidde L.",,,A lipid-based model for the creation of an escape hatch from the endoplasmic reticulum,NATURE,,,English,Article,,,,,,,I MEMBRANE-PROTEIN; TO-CYTOSOL DISLOCATION; CROSS-PRESENTATION; DENDRITIC CELLS; RETRO-TRANSLOCATION; EXOGENOUS ANTIGENS; DROPLETS; ER; DEGRADATION; POLYOMAVIRUS,"Lipids are not encoded by a DNA template and therefore cannot be mutated, knocked out or knocked down. This by no means renders them impotent from a cell biological perspective. Here I propose a model for the involvement of lipid rearrangements in the execution of crucial steps in ( glyco) protein quality control.","MIT, Whitehead Inst Biomed Res, Dept Biol, Cambridge, MA 02142 USA","Ploegh, HL (reprint author), MIT, Whitehead Inst Biomed Res, Dept Biol, Cambridge, MA 02142 USA.",ploegh@wi.mit.edu,,,,,,45,163,165,3,17,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,26-Jul,2007,448,7152,,,,,435,438,,10.1038/nature06004,,4,Multidisciplinary Sciences,Science & Technology - Other Topics,193VG,WOS:000248302700039,17653186,No,,,11/20/17
J,"Carpten, JD; Faber, AL; Horn, C; Donoho, GP; Briggs, SL; Robbins, CM; Hostetter, G; Boguslawski, S; Moses, TY; Savage, S; Uhlik, M; Lin, AM; Du, J; Qian, YW; Zeckner, DJ; Tucker-Kellogg, G; Touchman, J; Patel, K; Mousses, S; Bittner, M; Schevitz, R; Lai, MHT; Blanchard, KL; Thomas, JE",,,,"Carpten, John D.; Faber, Andrew L.; Horn, Candice; Donoho, Gregory P.; Briggs, Stephen L.; Robbins, Christiane M.; Hostetter, Galen; Boguslawski, Sophie; Moses, Tracy Y.; Savage, Stephanie; Uhlik, Mark; Lin, Aimin; Du, Jian; Qian, Yue-Wei; Zeckner, Douglas J.; Tucker-Kellogg, Greg; Touchman, Jeffrey; Patel, Ketan; Mousses, Spyro; Bittner, Michael; Schevitz, Richard; Lai, Mei-Huei T.; Blanchard, Kerry L.; Thomas, James E.",,,A transforming mutation in the pleckstrin homology domain of AKT1 in cancer,NATURE,,,English,Article,,,,,,,PROTEIN-KINASE-B; PIK3CA GENE; BREAST CANCERS; PHOSPHATIDYLINOSITOL 3-KINASE; ONCOGENIC TRANSFORMATION; SIGNALING PATHWAY; HIGH-FREQUENCY; ACTIVATION; AKT/PKB; PROTOONCOGENE,"Although AKT1 (v-akt murine thymoma viral oncogene homologue 1) kinase is a central member of possibly the most frequently activated proliferation and survival pathway in cancer, mutation of AKT1 has not been widely reported. Here we report the identification of a somatic mutation in human breast, colorectal and ovarian cancers that results in a glutamic acid to lysine substitution at amino acid 17 (E17K) in the lipid-binding pocket of AKT1. Lys 17 alters the electrostatic interactions of the pocket and forms new hydrogen bonds with a phosphoinositide ligand. This mutation activates AKT1 by means of pathological localization to the plasma membrane, stimulates downstream signalling, transforms cells and induces leukaemia in mice. This mechanism indicates a direct role of AKT1 in human cancer, and adds to the known genetic alterations that promote oncogenesis through the phosphatidylinositol-3-OH kinase/AKT pathway. Furthermore, the E17K substitution decreases the sensitivity to an allosteric kinase inhibitor, so this mutation may have important clinical utility for AKT drug development.","Lilly Corp Ctr, Lilly Res Labs, Canc Discovery Res, Indianapolis, IN 46285 USA; Translat Genom Res Inst, Div Integrated Canc Genom, Phoenix, AZ 85004 USA; Lilly Corp Ctr, Lilly Res Labs, Global Struct Biol, Indianapolis, IN 46285 USA; Lilly Corp Ctr, Lilly Res Labs, Integrat Biol, Indianapolis, IN 46285 USA; Lilly Singapore, Ctr Drug Discovery, Singapore 117528, Singapore; Translat Genom Res Inst, Scottsdale, AZ 85259 USA","Blanchard, KL (reprint author), Lilly Corp Ctr, Lilly Res Labs, Canc Discovery Res, Indianapolis, IN 46285 USA.",kblanc@lilly.com; thomas_james_e@lilly.com,"Tucker-Kellogg, Greg/G-3344-2012","Tucker-Kellogg, Greg/0000-0001-8407-9251",,,,37,711,723,1,49,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,26-Jul,2007,448,7152,,,,,439,U1,,10.1038/nature05933,,7,Multidisciplinary Sciences,Science & Technology - Other Topics,193VG,WOS:000248302700040,17611497,No,Y,N,11/20/17
J,"Dominguez-Sola, D; Ying, CY; Grandori, C; Ruggiero, L; Chen, B; Li, MY; Galloway, DA; Gu, W; Gautier, J; Dalla-Favera, R",,,,"Dominguez-Sola, David; Ying, Carol Y.; Grandori, Carla; Ruggiero, Luca; Chen, Brenden; Li, Muyang; Galloway, Denise A.; Gu, Wei; Gautier, Jean; Dalla-Favera, Riccardo",,,Non-transcriptional control of DNA replication by c-Myc,NATURE,,,English,Article,,,,,,,LEUKEMIA-CELL-LINE; NEGATIVE AUTOREGULATION; GENOMIC INSTABILITY; BURKITT-LYMPHOMA; DAMAGE RESPONSE; ONC GENE; TUMORIGENESIS; PROTEIN; ACTIVATION; CHECKPOINT,"The c-Myc proto-oncogene encodes a transcription factor that is essential for cell growth and proliferation and is broadly implicated in tumorigenesis. However, the biological functions required by c-Myc to induce oncogenesis remain elusive. Here we show that c-Myc has a direct role in the control of DNA replication. c-Myc interacts with the pre-replicative complex and localizes to early sites of DNA synthesis. Depletion of c-Myc from mammalian ( human and mouse) cells as well as from Xenopus cell-free extracts, which are devoid of RNA transcription, demonstrates a non-transcriptional role for c-Myc in the initiation of DNA replication. Overexpression of c-Myc causes increased replication origin activity with subsequent DNA damage and checkpoint activation. These findings identify a critical function of c-Myc in DNA replication and suggest a novel mechanism for its normal and oncogenic functions.","Columbia Univ, Med Ctr, Inst Canc Genet, Dept Genet & Dev, New York, NY 10032 USA; Columbia Univ, Med Ctr, Herbert Irving Ctr Comprehens Canc, New York, NY 10032 USA; Fred Hutchinson Canc Res Ctr, Div Human Biol, Seattle, WA 98109 USA","Gautier, J (reprint author), Columbia Univ, Med Ctr, Inst Canc Genet, Dept Genet & Dev, New York, NY 10032 USA.",jg130@columbia.edu; rd10@columbia.edu,"Gautier, jean/A-2774-2008",,,,,51,359,369,0,8,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,26-Jul,2007,448,7152,,,,,445,U3,,10.1038/nature05953,,9,Multidisciplinary Sciences,Science & Technology - Other Topics,193VG,WOS:000248302700041,17597761,No,,,11/20/17
J,"Anderlini, M; Lee, PJ; Brown, BL; Sebby-Strabley, J; Phillips, WD; Porto, JV",,,,"Anderlini, Marco; Lee, Patricia J.; Brown, Benjamin L.; Sebby-Strabley, Jennifer; Phillips, William D.; Porto, J. V.",,,Controlled exchange interaction between pairs of neutral atoms in an optical lattice,NATURE,,,English,Article,,,,,,,QUANTUM COMPUTATION; CONTROLLED COLLISIONS; ENTANGLEMENT; MANIPULATION; DYNAMICS; GATES; DOTS,"Ultracold atoms trapped by light offer robust quantum coherence and controllability, providing an attractive system for quantum information processing and for the simulation of complex problems in condensed matter physics. Many quantum information processing schemes require the manipulation and deterministic entanglement of individual qubits; this would typically be accomplished using controlled, state-dependent, coherent interactions among qubits. Recent experiments have made progress towards this goal by demonstrating entanglement among an ensemble of atoms(1) confined in an optical lattice. Until now, however, there has been no demonstration of a key operation: controlled entanglement between atoms in isolated pairs. Here we use an optical lattice of double-well potentials(2,3) to isolate and manipulate arrays of paired Rb-87 atoms, inducing controlled entangling interactions within each pair. Our experiment realizes proposals to use controlled exchange coupling(4) in a system of neutral atoms(5). Although Rb-87 atoms have nearly state-independent interactions, when we force two atoms into the same physical location, the wavefunction exchange symmetry of these identical bosons leads to state-dependent dynamics. We observe repeated interchange of spin between atoms occupying different vibrational levels, with a coherence time of more than ten milliseconds. This observation demonstrates the essential component of a neutral atom quantum SWAP gate ( which interchanges the state of two qubits). Its 'half-implementation', the root SWAP gate, is entangling, and together with single-qubit rotations it forms a set of universal gates for quantum computation(4).","Univ Maryland, Natl Inst Stand & Technol, Joint Quantum Inst, Gaithersburg, MD 20899 USA","Porto, JV (reprint author), Univ Maryland, Natl Inst Stand & Technol, Joint Quantum Inst, Gaithersburg, MD 20899 USA.",trey@nist.gov,"Lee, Patricia/B-6146-2012","Brown, Benjamin/0000-0002-4873-6362",,,,29,247,248,2,38,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,26-Jul,2007,448,7152,,,,,452,456,,10.1038/nature06011,,5,Multidisciplinary Sciences,Science & Technology - Other Topics,193VG,WOS:000248302700042,17653187,No,Y,N,11/20/17
J,"Dikin, DA; Stankovich, S; Zimney, EJ; Piner, RD; Dommett, GHB; Evmenenko, G; Nguyen, ST; Ruoff, RS",,,,"Dikin, Dmitriy A.; Stankovich, Sasha; Zimney, Eric J.; Piner, Richard D.; Dommett, Geoffrey H. B.; Evmenenko, Guennadi; Nguyen, SonBinh T.; Ruoff, Rodney S.",,,Preparation and characterization of graphene oxide paper,NATURE,,,English,Article,,,,,,,GRAPHITE OXIDE; MECHANICAL-PROPERTIES; FLEXIBLE GRAPHITE; NANOTUBE SHEETS; FILMS; DISPERSIONS; TENSILE,"Free-standing paper-like or foil-like materials are an integral part of our technological society. Their uses include protective layers, chemical filters, components of electrical batteries or supercapacitors, adhesive layers, electronic or optoelectronic components, and molecular storage(1). Inorganic 'paper-like' materials based on nanoscale components such as exfoliated vermiculite or mica platelets have been intensively studied(2,3) and commercialized as protective coatings, high-temperature binders, dielectric barriers and gas-impermeable membranes(4,5). Carbon-based flexible graphite foils(6-8) composed of stacked platelets of expanded graphite have long been used(9,10) in packing and gasketing applications because of their chemical resistivity against most media, superior sealability over a wide temperature range, and impermeability to fluids. The discovery of carbon nanotubes brought about bucky paper(11), which displays excellent mechanical and electrical properties that make it potentially suitable for fuel cell and structural composite applications(12-15). Here we report the preparation and characterization of graphene oxide paper, a free-standing carbon-based membrane material made by flow-directed assembly of individual graphene oxide sheets. This new material outperforms many other paper-like materials in stiffness and strength. Its combination of macroscopic flexibility and stiffness is a result of a unique interlocking-tile arrangement of the nanoscale graphene oxide sheets.","Northwestern Univ, Dept Mech Engn, Evanston, IL 60208 USA; Northwestern Univ, Dept Phys & Astron, Evanston, IL 60208 USA; Northwestern Univ, Dept Chem, Evanston, IL 60208 USA","Ruoff, RS (reprint author), Northwestern Univ, Dept Mech Engn, 2145 Sheridan Rd, Evanston, IL 60208 USA.",r-ruoff@northwestern.edu,"Dikin, Dmitriy/B-7592-2009; Ruoff, Rodney/B-7605-2009; Dikin, Dmitriy/A-1086-2010; Dikin, Dmitriy/B-4649-2014; Nguyen, SonBinh/C-1682-2014; Ruoff, Rodney/K-3879-2015","Dikin, Dmitriy/0000-0001-8100-4502; Dikin, Dmitriy/0000-0001-8100-4502; Nguyen, SonBinh/0000-0002-6977-3445; ",,,,27,2851,2916,370,4266,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,26-Jul,2007,448,7152,,,,,457,460,,10.1038/nature06016,,4,Multidisciplinary Sciences,Science & Technology - Other Topics,193VG,WOS:000248302700043,17653188,No,Y,N,11/20/17
