,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,c_fname,c_lname,gender,probability,count,scholar_id,citedby
0,J,"Jiang, W; Baker, ML; Jakana, J; Weigele, PR; King, J; Chiu, W",,,,"Jiang, Wen; Baker, Matthew L.; Jakana, Joanita; Weigele, Peter R.; King, Jonathan; Chiu, Wah",,,Backbone structure of the infectious epsilon 15 virus capsid revealed by electron cryomicroscopy,NATURE,,,English,Article,,,,,,,DENSITY MAPS; PROTEIN; VIRUSES; BACTERIOPHAGES; MICROSCOPY; PARTICLES; ALGORITHM; EVOLUTION; TOPOLOGY; BINDING,"A half- century after the determination of the first three-dimensional crystal structure of a protein(1), more than 40,000 structures ranging from single polypeptides to large assemblies have been reported(2). The challenge for crystallographers, however, remains the growing of a diffracting crystal. Here we report the 4.5- angstrom resolution structure of a 22-MDa macromolecular assembly, the capsid of the infectious epsilon15 ( epsilon 15) particle, by single-particle electron cryomicroscopy. From this density map we constructed a complete backbone trace of its major capsid protein, gene product 7 ( gp7). The structure reveals a similar protein architecture to that of other tailed double- stranded DNA viruses, even in the absence of detectable sequence similarity(3,4). However, the connectivity of the secondary structure elements ( topology) in gp7 is unique. Protruding densities are observed around the two- fold axes that cannot be accounted for by gp7. A subsequent proteomic analysis of the whole virus identifies these densities as gp10, a 12- kDa protein. Its structure, location and high binding affinity to the capsid indicate that the gp10 dimer functions as a molecular staple between neighbouring capsomeres to ensure the particle's stability. Beyond epsilon 15, this method potentially offers a new approach for modelling the backbone conformations of the protein subunits in other macromolecular assemblies at near- native solution states.","[Baker, Matthew L.; Jakana, Joanita; Chiu, Wah] Baylor Coll Med, Natl Ctr Macromol Imaging, Verna & Marrs Mclean Dept Biochem, Houston, TX 77030 USA; [Jiang, Wen] Purdue Univ, Markey Ctr Struct Biol, Dept Biol Sci, W Lafayette, IN 47907 USA; [Weigele, Peter R.; King, Jonathan] MIT, Dept Biol, Cambridge, MA 02139 USA","Chiu, W (reprint author), Baylor Coll Med, Natl Ctr Macromol Imaging, Verna & Marrs Mclean Dept Biochem, Houston, TX 77030 USA.",jiang12@purdue.edu; wah@bcm.edu,,,,,,35,150,157,1,13,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,1476-4687,,NATURE,Nature,28-Feb,2008,451,7182,,,,,1130,U12,,10.1038/nature06665,,6,Multidisciplinary Sciences,Science & Technology - Other Topics,266RB,WOS:000253453600047,18305544.0,No,,,11/20/17,wah,chiu,male,0.95,19,QgGaAdsAAAAJ,23821
1,J,"Rader, DJ; Daugherty, A",,,,"Rader, Daniel J.; Daugherty, Alan",,,Translating molecular discoveries into new therapies for atherosclerosis,NATURE,,,English,Article,,,,,,,CORONARY-ARTERY-DISEASE; APOE-DEFICIENT MICE; RANDOMIZED CONTROLLED-TRIAL; HIGH-DENSITY-LIPOPROTEINS; SMOOTH-MUSCLE-CELLS; TRANSPORT IN-VIVO; CARDIOVASCULAR-DISEASE; MYOCARDIAL-INFARCTION; APOLIPOPROTEIN-E; PLAQUE RUPTURE,"Atherosclerosis is characterized by the thickening of the arterial wall and is the primary cause of coronary artery disease and cerebrovascular disease, two of the most common causes of illness and death worldwide. Clinical trials have confirmed that certain lipoproteins and the renin-angiotensin-aldosterone system are important in the pathogenesis of atherosclerotic cardiovascular disease, and that interventions targeted towards these are beneficial. Furthermore, efforts to understand how risk factors such as high blood pressure, dysregulated blood lipids and diabetes contribute to atherosclerotic disease, as well as to understand the molecular pathogenesis of atherosclerotic plaques, are leading to new targets for therapy.","[Rader, Daniel J.] Univ Penn, Sch Med, Cardiovasc Inst, Philadelphia, PA 19104 USA; [Rader, Daniel J.] Univ Penn, Sch Med, Inst Translat Med & Therapeut, Philadelphia, PA 19104 USA; [Daugherty, Alan] Univ Kentucky, Cardiovasc Res Ctr, Lexington, KY 40536 USA; [Daugherty, Alan] Univ Kentucky, Gill Heart Inst, Lexington, KY 40536 USA","Rader, DJ (reprint author), Univ Penn, Sch Med, Cardiovasc Inst, 654 BRBII-III,421 Curie Blvd, Philadelphia, PA 19104 USA.",rader@mail.med.upenn.edu,"Daugherty, Alan/C-8282-2009",,,,,100,263,284,3,48,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,21-Feb,2008,451,7181,,,,,904,913,,10.1038/nature06796,,10,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100030,18288179.0,No,Y,N,11/20/17,alan,daugherty,male,1,2079,y_uddokAAAAJ,18079
2,J,"Mackman, N",,,,"Mackman, Nigel",,,"Triggers, targets and treatments for thrombosis",NATURE,,,English,Article,,,,,,,RANDOMIZED CLINICAL-TRIALS; ACUTE CORONARY SYNDROMES; DRUG-ELUTING STENTS; TISSUE FACTOR; FACTOR-IXA; UNFRACTIONATED HEPARIN; VENOUS THROMBOEMBOLISM; RISK-FACTORS; PLATELET; PREVENTION,"Thrombosis-localized clotting of the blood-can occur in the arterial or the venous circulation and has a major medical impact. Acute arterial thrombosis is the proximal cause of most cases of myocardial infarction ( heart attack) and of about 80% of strokes, collectively the most common cause of death in the developed world. Venous thromboembolism is the third leading cause of cardiovascular-associated death. The pathogenic changes that occur in the blood vessel wall and in the blood itself resulting in thrombosis are not fully understood. Understanding these processes is crucial for developing safer and more effective antithrombotic drugs.","Univ N Carolina, Div Hematol Oncol, Dept Med, Chapel Hill, NC 27599 USA","Mackman, N (reprint author), Univ N Carolina, Div Hematol Oncol, Dept Med, Chapel Hill, NC 27599 USA.",nmackman@med.unc.edu,,,"NHLBI NIH HHS [R01 HL095096, R01 HL095096-01]",,,59,419,435,5,99,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,21-Feb,2008,451,7181,,,,,914,918,,10.1038/nature06797,,5,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100031,18288180.0,No,Y,N,11/20/17,nigel,mackman,male,1,325,na,na
3,J,"Mudd, JO; Kass, DA",,,,"Mudd, James O.; Kass, David A.",,,Tackling heart failure in the twenty-first century,NATURE,,,English,Article,,,,,,,LEFT-VENTRICULAR FUNCTION; INDUCED CARDIAC-HYPERTROPHY; CHANNEL RYANODINE RECEPTOR; DEPENDENT PROTEIN-KINASE; DILATED CARDIOMYOPATHY; PRESSURE-OVERLOAD; MYOCARDIAL-INFARCTION; GENE-EXPRESSION; IN-VIVO; HEMODYNAMIC STRESS,"Heart failure, or congestive heart failure, is a condition in which the heart cannot supply the body's tissues with enough blood. The result is a cascade of changes that lead to severe fatigue, breathlessness and, ultimately, death. In the past quarter century, much progress has been made in understanding the molecular and cellular processes that contribute to heart failure, leading to the development of effective therapies. Despite this, chronic heart failure remains a major cause of illness and death. And because the condition becomes more common with increasing age, the number of affected individuals is rising with the rapidly ageing global population. New treatments that target disease mechanisms at the cellular and whole-organ level are needed to halt and reverse the devastating consequences of this disease.","[Mudd, James O.; Kass, David A.] Johns Hopkins Med Inst, Baltimore, MD 21205 USA","Kass, DA (reprint author), Johns Hopkins Med Inst, Ross 835,720 Rutland Ave, Baltimore, MD 21205 USA.",dkass@jhmi.edu,,,,,,100,228,240,1,20,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,21-Feb,2008,451,7181,,,,,919,928,,10.1038/nature06798,,10,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100032,18288181.0,No,Y,N,11/20/17,david a.,kass,na,na,na,na,na
4,J,"Knollmann, BC; Roden, DM",,,,"Knollmann, Bjorn C.; Roden, Dan M.",,,A genetic framework for improving arrhythmia therapy,NATURE,,,English,Article,,,,,,,CARDIAC RYANODINE RECEPTOR; LEFT-VENTRICULAR DYSFUNCTION; ACUTE MYOCARDIAL-INFARCTION; LONG-QT SYNDROME; FAMILIAL HYPERTROPHIC CARDIOMYOPATHY; POLYUNSATURATED FATTY-ACIDS; ANTIARRHYTHMIC-DRUG THERAPY; DEPENDENT PROTEIN-KINASE; CONGESTIVE-HEART-FAILURE; RETICULUM CA2+ LEAK,"Abnormalities in heart rhythm continue to cause high rates of illness and death. Better treatment could be provided by solving two main challenges: the early identification of patients who are at risk, and the characterization of molecular pathways that culminate in arrhythmias. By analysing mechanisms that increase susceptibility to arrhythmia in individuals with genetic syndromes, it might be possible to improve current therapies and to develop new ways to treat and prevent common arrhythmias.","[Knollmann, Bjorn C.; Roden, Dan M.] Vanderbilt Univ, Sch Med, Nashville, TN 37232 USA","Roden, DM (reprint author), Vanderbilt Univ, Sch Med, 1285 Med Res Bldg 4, Nashville, TN 37232 USA.",dan.roden@vanderbilt.edu,,"Knollmann, Bjorn/0000-0003-4956-9735",,,,100,44,45,0,5,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,21-Feb,2008,451,7181,,,,,929,936,,10.1038/nature06799,,8,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100033,18288182.0,No,,,11/20/17,dan m.,roden,na,na,na,na,na
5,J,"Segers, VFM; Lee, RT",,,,"Segers, Vincent F. M.; Lee, Richard T.",,,Stem-cell therapy for cardiac disease,NATURE,,,English,Article,,,,,,,ACUTE MYOCARDIAL-INFARCTION; BONE-MARROW-CELLS; REPAIR-AMI TRIAL; PROGENITOR CELLS; INTRACORONARY TRANSPLANTATION; IN-VITRO; HEART REGENERATION; SKELETAL MYOBLASTS; ADULT; MUSCLE,"Heart failure is the leading cause of death worldwide, and current therapies only delay progression of the disease. Laboratory experiments and recent clinical trials suggest that cell-based therapies can improve cardiac function, and the implications of this for cardiac regeneration are causing great excitement. Bone-marrow-derived progenitor cells and other progenitor cells can differentiate into vascular cell types, restoring blood flow. More recently, resident cardiac stem cells have been shown to differentiate into multiple cell types present in the heart, including cardiac muscle cells, indicating that the heart is not terminally differentiated. These new findings have stimulated optimism that the progression of heart failure can be prevented or even reversed with cell-based therapy.","[Segers, Vincent F. M.; Lee, Richard T.] Harvard Univ, Brigham & Womens Hosp, Div Cardiovasc, Dept Med,Sch Med,Partners Res Facil, Cambridge, MA 02139 USA","Lee, RT (reprint author), Harvard Univ, Brigham & Womens Hosp, Div Cardiovasc, Dept Med,Sch Med,Partners Res Facil, 65 Landsdowne St, Cambridge, MA 02139 USA.",rlee@partners.org,,"Segers, Vincent/0000-0001-7796-2222",,,,77,629,665,12,111,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,1476-4687,,NATURE,Nature,21-Feb,2008,451,7181,,,,,937,942,,10.1038/nature06800,,6,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100034,18288183.0,No,Y,N,11/20/17,richard t.,lee,na,na,na,na,na
6,J,"Bruneau, BG",,,,"Bruneau, Benoit G.",,,The developmental genetics of congenital heart disease,NATURE,,,English,Article,,,,,,,HOLT-ORAM-SYNDROME; OF-FUNCTION MUTATIONS; CAUSE NOONAN-SYNDROME; ALAGILLE-SYNDROME; SMOOTH-MUSCLE; CARDIOVASCULAR-DISEASE; SCIENTIFIC STATEMENT; CURRENT KNOWLEDGE; PROGENITOR CELLS; OKIHIRO-SYNDROME,"Congenital heart disease is the leading cause of infant morbidity in the Western world, but only in the past ten years has its aetiology been understood. Recent studies have uncovered the genetic basis for some common forms of the disease and provide new insight into how the heart develops and how dysregulation of heart development leads to disease.","[Bruneau, Benoit G.] Univ Calif San Francisco, Gladstone Inst Cardiovasc Dis, San Francisco, CA 94158 USA; [Bruneau, Benoit G.] Univ Calif San Francisco, Dept Pediat, San Francisco, CA 94158 USA","Bruneau, BG (reprint author), Univ Calif San Francisco, Gladstone Inst Cardiovasc Dis, 1650 Owens St, San Francisco, CA 94158 USA.",bbruneau@gladstone.ucsf.edu,,"Bruneau, Benoit/0000-0002-0804-7597",,,,68,372,391,4,45,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,21-Feb,2008,451,7181,,,,,943,948,,10.1038/nature06801,,6,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100035,18288184.0,No,,,11/20/17,benoit g.,bruneau,na,na,na,na,na
7,J,"Gerszten, RE; Wang, TJ",,,,"Gerszten, Robert E.; Wang, Thomas J.",,,The search for new cardiovascular biomarkers,NATURE,,,English,Article,,,,,,,CORONARY-ARTERY-DISEASE; PLASMA-PROTEOME; IDENTIFICATION; CHEMOKINE; RECEPTOR; ASSOCIATION; DATABASE; EVENTS; RISK,"Despite considerable advances in the treatment of cardiovascular disease, it remains the leading cause of death in developed countries. Assessment of classic cardiovascular risk factors-including high blood pressure, diabetes and smoking-has a central role in disease prevention. However, many individuals with coronary heart disease (a narrowing of the blood vessels that supply the heart) have only one, or none, of the classic risk factors. Thus, new biomarkers are needed to augment the information obtained from traditional indicators and to illuminate disease mechanisms.","[Gerszten, Robert E.; Wang, Thomas J.] Massachusetts Gen Hosp, Div Cardiol, Boston, MA 02114 USA; [Gerszten, Robert E.] Massachusetts Gen Hosp, Ctr Immunol & Inflammatory Dis, Charlestown, MA 02129 USA","Gerszten, RE (reprint author), Massachusetts Gen Hosp, Div Cardiol, 55 Fruit St, Boston, MA 02114 USA.",rgerszten@partners.org,,,,,,26,174,178,1,22,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,21-Feb,2008,451,7181,,,,,949,952,,10.1038/nature06802,,4,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100036,18288185.0,No,,,11/20/17,thomas j.,wang,male,1,1,KA93VqkAAAAJ,52967
8,J,"Sanz, J; Fayad, ZA",,,,"Sanz, Javier; Fayad, Zahi A.",,,Imaging of atherosclerotic cardiovascular disease,NATURE,,,English,Article,,,,,,,CORONARY-ARTERY-DISEASE; CARDIAC MAGNETIC-RESONANCE; COMPUTED-TOMOGRAPHY; IN-VIVO; PLAQUE INFLAMMATION; VULNERABLE PLAQUE; RISK-ASSESSMENT; CONTRAST AGENT; WORKING GROUP; ANGIOGRAPHY,"Atherosclerosis is characterized by thickening of the walls of the arteries, a process that occurs slowly and 'silently' over decades. This prolonged course of disease provides a window of opportunity for diagnosis before symptoms occur. But, until recently, only advanced atherosclerotic disease could be observed. Now, developments in imaging technology offer many enticing prospects, including detecting atherosclerosis early, grouping individuals by the probability that they will develop symptoms of atherosclerosis, assessing the results of treatment and improving the current understanding of the biology of atherosclerosis.","[Sanz, Javier; Fayad, Zahi A.] Mt Sinai Sch Med, Zena & Michael A Wiener Cardiovasc Inst, New York, NY 10029 USA; [Sanz, Javier; Fayad, Zahi A.] Mt Sinai Sch Med, Marie Josee & Henry R Kravis Ctr Cardiovasc Hlth, New York, NY 10029 USA; [Fayad, Zahi A.] Mt Sinai Sch Med, Translat & Mol Imaging Inst, Imaging Sci Labs, Dept Radiol, New York, NY 10029 USA; [Fayad, Zahi A.] Mt Sinai Sch Med, Translat & Mol Imaging Inst, Imaging Sci Labs, Dept Med, New York, NY 10029 USA","Fayad, ZA (reprint author), Mt Sinai Sch Med, Zena & Michael A Wiener Cardiovasc Inst, 1 Gustave L Levy Pl, New York, NY 10029 USA.",zahi.fayad@mssm.edu,"Sanz, Javier/J-7251-2016",,,,,40,294,305,0,51,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,21-Feb,2008,451,7181,,,,,953,957,,10.1038/nature06803,,5,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100037,18288186.0,No,Y,N,11/20/17,zahi a.,fayad,na,na,na,na,na
9,J,"Moore, RB; Obornik, M; Janouskovec, J; Chrudimsky, T; Vancova, M; Green, DH; Wright, SW; Davies, NW; Bolch, CJS; Heimann, K; Slapeta, J; Hoegh-Guldberg, O; Logsdon, JM; Carter, DA",,,,"Moore, Robert B.; Obornik, Miroslav; Janouskovec, Jan; Chrudimsky, Tomas; Vancova, Marie; Green, David H.; Wright, Simon W.; Davies, Noel W.; Bolch, Christopher J. S.; Heimann, Kirsten; Slapeta, Jan; Hoegh-Guldberg, Ove; Logsdon, John M., Jr.; Carter, Dee A.",,,A photosynthetic alveolate closely related to apicomplexan parasites,NATURE,,,English,Article,,,,,,,DINOFLAGELLATE PLASTIDS; CRYPTOSPORIDIUM-PARVUM; TOXOPLASMA-GONDII; COMMON ORIGIN; PHYLOGENY; APICOPLAST; DIVERSITY; EVOLUTION; SPOROZOAN; PROTISTS,"Many parasitic Apicomplexa, such as Plasmodium falciparum, contain an unpigmented chloroplast remnant termed the apicoplast, which is a target for malaria treatment. However, no close relative of apicomplexans with a functional photosynthetic plastid has yet been described. Here we describe a newly cultured organism that has ultrastructural features typical for alveolates, is phylogenetically related to apicomplexans, and contains a photosynthetic plastid. The plastid is surrounded by four membranes, is pigmented by chlorophyll a, and uses the codon UGA to encode tryptophan in the psbA gene. This genetic feature has been found only in coccidian apicoplasts and various mitochondria. The UGA-Trp codon and phylogenies of plastid and nuclear ribosomal RNA genes indicate that the organism is the closest known photosynthetic relative to apicomplexan parasites and that its plastid shares an origin with the apicoplasts. The discovery of this organism provides a powerful model with which to study the evolution of parasitism in Apicomplexa.","[Moore, Robert B.; Carter, Dee A.] Univ Sydney, Sch Mol & Microbial Biosci, Darlington, NSW 2006, Australia; [Moore, Robert B.; Logsdon, John M., Jr.] Univ Iowa, Roy J Carver Ctr Comparat Genom, Dept Biol Sci, Iowa City, IA 52242 USA; [Obornik, Miroslav; Janouskovec, Jan; Chrudimsky, Tomas; Vancova, Marie] Acad Sci Czech Republic, Ctr Biol, Inst Parasitol, Ceske Budejovice 37005, Czech Republic; [Obornik, Miroslav; Janouskovec, Jan; Chrudimsky, Tomas; Vancova, Marie] Univ S Bohemia, Fac Sci, Ceske Budejovice 37005, Czech Republic; [Green, David H.] Dunstaffnage Marine Lab Oban, Scottish Assoc Marine Sci, Argyll PA37 1QA, Scotland; [Wright, Simon W.] Australian Antarctic Div, Kingston, Tas 7050, Australia; [Davies, Noel W.] Univ Tasmania, Cent Sci Lab, Hobart, Tas 7001, Australia; [Bolch, Christopher J. S.] Univ Tasmania, Sch Aquaculture, Launceston, Tas 7250, Australia; [Heimann, Kirsten] James Cook Univ N Queensland, Sch Marine & Trop Biol, Townsville, Qld 4811, Australia; [Slapeta, Jan] Univ Sydney, Fac Vet Sci, Camperdown, NSW 2006, Australia; [Hoegh-Guldberg, Ove] Univ Queensland, Ctr Marine Studies, St Lucia, Qld 4072, Australia","Carter, DA (reprint author), Univ Sydney, Sch Mol & Microbial Biosci, Darlington, NSW 2006, Australia.",d.carter@mmb.usyd.edu.au,"Logsdon, John/B-7812-2009; Carter, Dee/C-1331-2010; Heimann, Kirsten/C-4539-2012; Green, David/E-2533-2012; Hoegh-Guldberg, Ove/H-6169-2011; Vancova, Marie/G-8347-2014; Chrudimsky, Tomas/L-5628-2014; Obornik, Miroslav/G-9350-2014; Heimann, Kirsten/N-1512-2013; Davies, Noel/J-7714-2014","Green, David/0000-0001-7499-6021; Hoegh-Guldberg, Ove/0000-0001-7510-6713; Heimann, Kirsten/0000-0003-2691-9659; Davies, Noel/0000-0002-9624-0935; Janouskovec, Jan/0000-0001-6547-749X; Carter, Dee/0000-0002-4638-0059; Slapeta, Jan/0000-0003-1459-9117",,,,30,238,243,5,54,NATURE PUBLISHING GROUP,LONDON,"MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND",0028-0836,,,NATURE,Nature,21-Feb,2008,451,7181,,,,,959,963,,10.1038/nature06635,,5,Multidisciplinary Sciences,Science & Technology - Other Topics,264TK,WOS:000253313100041,18288187.0,No,Y,N,11/20/17,dee a.,carter,na,na,na,na,na
